Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;66.67%;0.5000;0.0 seg;2;1;3

EWMA_Termico;22.22%;0.2857;0.0 seg;2;7;3

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;2

Z-Score_Termico;66.67%;0.5000;0.0 seg;2;1;3

EWMA_Termico;22.22%;0.2857;0.0 seg;2;7;3

Z-Score_Termico;66.67%;0.5000;0.0 seg;2;1;3

EWMA_Termico;22.22%;0.2857;0.0 seg;2;7;3

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;2

Z-Score_Termico;75.00%;0.6000;0.0 seg;3;1;3

EWMA_Termico;22.22%;0.2667;0.0 seg;2;7;4

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;2

Z-Score_Termico;75.00%;0.6000;0.0 seg;3;1;3

EWMA_Termico;22.22%;0.2667;0.0 seg;2;7;4

Z-Score_Termico;75.00%;0.6000;0.0 seg;3;1;3

EWMA_Termico;22.22%;0.2667;0.0 seg;2;7;4

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;2

Z-Score_Termico;60.00%;0.5455;0.0 seg;3;2;3

EWMA_Termico;22.22%;0.2667;0.0 seg;2;7;4

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;2

Z-Score_Termico;60.00%;0.5455;0.0 seg;3;2;3

EWMA_Termico;22.22%;0.2667;0.0 seg;2;7;4

Z-Score_Termico;60.00%;0.5455;0.0 seg;3;2;3

EWMA_Termico;22.22%;0.2667;0.0 seg;2;7;4

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;2

Z-Score_Termico;60.00%;0.5455;0.0 seg;3;2;3

EWMA_Termico;22.22%;0.2667;0.0 seg;2;7;4

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;2

Z-Score_Termico;60.00%;0.5455;0.0 seg;3;2;3

EWMA_Termico;22.22%;0.2667;0.0 seg;2;7;4

Z-Score_Termico;66.67%;0.6154;0.0 seg;4;2;3

